model,paradigm,split,n,accuracy,macro_f1,balanced_acc,precision_pos,recall_pos,roc_auc,fit_seconds,predict_seconds
char35_logreg,char-ngram + logistic,length_matched,524,0.7805343511450382,0.7789037647999824,0.7805343511450382,0.8387096774193549,0.6946564885496184,0.7970689353767263,3.8,0.0
sbert_paired_logreg,paired embed (k⊕a + cos + diff) + linear,length_matched,524,0.7652671755725191,0.7643324911238926,0.7652671755725191,0.8034934497816594,0.7022900763358778,0.7951605384301614,0.261,0.003
sbert_answer_logreg,sentence-embed + linear,length_matched,524,0.7614503816793893,0.7598330931664266,0.7614503816793894,0.8127853881278538,0.6793893129770993,0.7886923838937124,0.061,0.001
tfidf12_svc,word-ngram + linear hinge,length_matched,524,0.7442748091603053,0.741102901051576,0.7442748091603053,0.8137254901960784,0.6335877862595419,0.7931793019054834,0.389,0.002
sbert_paired_xgb,paired embed + XGBoost,length_matched,524,0.7309160305343512,0.729970944575407,0.7309160305343512,0.7619047619047619,0.6717557251908397,0.7892605326029951,52.639,0.008
nli_deberta_zeroshot,cross-encoder NLI (zero-shot),length_matched,524,0.7137404580152672,0.7137237762237763,0.7137404580152672,0.7105263157894737,0.7213740458015268,0.7188683643144339,0.0,20.92
