ngram_range,max_features,sublinear_tf,vocab_actual,f1_raw,f1_matched,acc_matched,auc_matched,shortcut_delta,fit_s
"(2, 4)",25000,False,25000,0.9639939149716302,0.7904392205495485,0.7919847328244275,0.7960200454518969,0.1735546944220817,4.956248044967651
"(2, 4)",25000,True,25000,0.9649949592741355,0.790574457241124,0.7919847328244275,0.7992978264669892,0.17442050203301152,5.132495164871216
"(2, 4)",50000,False,32454,0.9644939994859131,0.7904392205495485,0.7919847328244275,0.7953062175863878,0.17405477893636456,4.965450048446655
"(2, 4)",50000,True,32454,0.9647447095029698,0.790574457241124,0.7919847328244275,0.79886078899831,0.1741702522618458,4.635011196136475
"(2, 4)",100000,False,32454,0.9644939994859131,0.7904392205495485,0.7919847328244275,0.7953062175863878,0.17405477893636456,4.831383228302002
"(2, 4)",100000,True,32454,0.9647447095029698,0.790574457241124,0.7919847328244275,0.79886078899831,0.1741702522618458,4.060997009277344
"(2, 4)",200000,False,32454,0.9644939994859131,0.7904392205495485,0.7919847328244275,0.7953062175863878,0.17405477893636456,4.855484247207642
"(2, 4)",200000,True,32454,0.9647447095029698,0.790574457241124,0.7919847328244275,0.79886078899831,0.1741702522618458,4.267549991607666
"(2, 5)",25000,False,25000,0.9639948152533965,0.7904392205495485,0.7919847328244275,0.7955247363207272,0.17355559470384796,4.952101230621338
"(2, 5)",25000,True,25000,0.9644939994859131,0.7941453994059486,0.7958015267175572,0.7987879494201968,0.17034860007996444,5.151864051818848
"(2, 5)",50000,False,50000,0.9624931643792081,0.7844508432743726,0.7862595419847328,0.7931501660742379,0.17804232110483542,5.517016172409058
"(2, 5)",50000,True,50000,0.9627434591485469,0.7864499003183205,0.7881679389312977,0.7964279470893304,0.17629355883022635,5.24446702003479
"(2, 5)",100000,False,61772,0.9632435469452105,0.7904392205495485,0.7919847328244275,0.7928879435930307,0.172804326395662,5.356438875198364
"(2, 5)",100000,True,61772,0.963494743243027,0.7904392205495485,0.7919847328244275,0.7964716508361984,0.17305552269347846,5.229507923126221
"(2, 5)",200000,False,61772,0.9632435469452105,0.7904392205495485,0.7919847328244275,0.7928879435930307,0.172804326395662,5.333176136016846
"(2, 5)",200000,True,61772,0.963494743243027,0.7904392205495485,0.7919847328244275,0.7964716508361984,0.17305552269347846,5.112675905227661
"(3, 4)",25000,False,25000,0.953736233638022,0.7725694444444444,0.7748091603053435,0.7964716508361982,0.18116678919357754,3.9793169498443604
"(3, 4)",25000,True,25000,0.95373702034277,0.7745822226307565,0.7767175572519084,0.7967193054017833,0.17915479771201348,3.72513484954834
"(3, 4)",50000,False,31029,0.953484929117034,0.7744096965415228,0.7767175572519084,0.7949711555270671,0.17907523257551117,4.418154001235962
"(3, 4)",50000,True,31029,0.9539850911695389,0.7764241996233522,0.7786259541984732,0.795451896742614,0.1775608915461867,3.9080750942230225
"(3, 4)",100000,False,31029,0.953484929117034,0.7744096965415228,0.7767175572519084,0.7949711555270671,0.17907523257551117,4.353657007217407
"(3, 4)",100000,True,31029,0.9539850911695389,0.7764241996233522,0.7786259541984732,0.795451896742614,0.1775608915461867,4.15647292137146
"(3, 4)",200000,False,31029,0.953484929117034,0.7744096965415228,0.7767175572519084,0.7949711555270671,0.17907523257551117,4.834426164627075
"(3, 4)",200000,True,31029,0.9539850911695389,0.7764241996233522,0.7786259541984732,0.795451896742614,0.1775608915461867,4.123213052749634
"(3, 5)",25000,False,25000,0.9542355813478485,0.7824487921374116,0.7843511450381679,0.7966756016549152,0.17178678921043689,4.921596050262451
"(3, 5)",25000,True,25000,0.9547365312890917,0.7844508432743726,0.7862595419847328,0.7973457257735563,0.1702856880147191,4.344449996948242
"(3, 5)",50000,False,50000,0.9527375197513093,0.7750586128834603,0.7767175572519084,0.7948691801177087,0.17767890686784893,4.790011882781982
