model,split,f1,acc,auc
meta_logreg [char+sbert+nli],matched,0.80442037470726,0.8053435114503816,0.8475467630091487
meta_logreg [char+sbert+nli],raw,0.9689972019974803,0.969,0.9891765
mean_blend [char+sbert+nli],matched,0.7899661847014925,0.7900763358778626,0.8708991317522289
char_best (control),matched,0.7941453994059486,0.7958015267175572,0.7987879494201968
