value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0.994874843369124,0.9,4.75357153204958,0.05,4,4,500,0.03872090295370417,0.0024430162614261434,0.9
0.994874843369124,0.8099025726528951,1.4561457009902097,0.018659959624904923,4,5,350,0.0032112643094417484,1.8007140198129195e-07,0.721696897183815
0.994874843369124,0.9233589392465844,0.48836057003191935,0.25212679047779213,3,4,300,0.01439120761572808,9.148975058772307e-05,0.9862528132298237
0.994874843369124,0.9579309401710595,4.609371175115584,0.13962563737015762,10,6,300,6.257956190096665e-08,5.805581976088804e-07,0.9757995766256756
0.994874843369124,0.9314950036607718,1.4046725484369038,0.03750796359625606,5,4,200,0.0007660634613082907,1.8548894229694903e-07,0.7085396127095583
0.9948123384431269,0.6798695128633439,2.9620728443102124,0.04717052037625178,5,6,400,2.6185068507773707e-08,0.0029369981104377003,0.9140703845572055
0.9948123384431269,0.7035119926400067,1.5585553804470549,0.011240768803005551,6,7,250,0.0004793052550782129,0.0008325158565947969,0.9637281608315128
0.9946873331617522,0.6794862726136689,4.0773071422741705,0.2869139536545373,3,1,800,0.022999378190815965,0.0363969097981129,0.908897907718663
0.9945623272944321,0.9452413703502374,1.654490124263246,0.0338452204120114,3,7,750,3.732717755563729e-08,6.292756043818863e-06,0.6463476238100518
0.9938122416007699,0.8617497909578928,3.2718826138537653,0.10672112706919769,8,10,600,6.887046332769725e-06,3.3316309468938208,0.8325937438318279
