,answer_len,n_tokens,jaccard_k,has_period,char_prob
TP (hallu caught),38.729729729729726,6.481081081081081,0.10313840619634458,0.9837837837837838,0.8599804603021547
FN (hallu missed),15.402597402597403,2.4155844155844157,0.023963484946118798,0.2077922077922078,0.1918400034759272
FP (false alarm),86.0,14.333333333333334,0.29294928089775285,0.26666666666666666,0.7729067244148542
TN (grounded ok),24.46551724137931,3.5301724137931036,0.09053345525281149,0.034482758620689655,0.1893359717223874
